date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,AQI_t+1,AQI_t+2,AQI_t+3,day,day_of_week,month,year,day_of_year,AQI_lag_1,AQI_lag_2,AQI_lag_3,AQI_lag_7,AQI_change_1d,AQI_change_3d,AQI_change_7d,AQI_rolling_mean_3,AQI_rolling_mean_7,PM2.5_rolling_mean_3,PM2.5_rolling_mean_7,PM10_rolling_mean_3,PM10_rolling_mean_7
2024-09-09,61.708333333333336,17.366666666666667,66.27916666666667,12.045833333333334,4.816666666666666,200.91666666666663,51.708333333333336,27.59166666666667,82.125,0.0,71.375,93.45833333333331,108.375,9,0,9,2024,253,63.583333333333336,68.125,66.75,61.875,-1.875,-5.041666666666664,-0.1666666666666643,66.15277777777779,65.10714285714285,17.125,16.94702380952381,49.61388888888888,51.90535714285714
2024-09-10,71.375,24.695833333333336,90.07916666666668,14.254166666666668,5.3625,234.125,53.208333333333336,27.5625,82.58333333333333,0.0208333333333333,93.45833333333331,108.375,91.375,10,1,9,2024,254,61.708333333333336,63.583333333333336,68.125,61.91666666666666,9.666666666666664,3.25,9.458333333333345,64.47222222222223,65.08333333333333,16.561111111111114,17.233333333333338,54.74861111111111,54.49345238095238
2024-09-11,93.45833333333331,37.17916666666667,168.1875,14.575,6.758333333333333,247.4583333333333,64.95833333333333,27.566666666666663,82.54166666666667,0.0083333333333333,108.375,91.375,77.125,11,2,9,2024,255,71.375,61.708333333333336,63.583333333333336,67.0,22.083333333333314,29.87499999999998,26.458333333333314,65.55555555555556,66.43452380952381,18.96666666666667,18.44821428571429,68.13333333333334,58.46726190476191
2024-09-12,108.375,36.32083333333333,172.32916666666665,11.391666666666666,5.291666666666667,213.125,62.66666666666666,27.929166666666664,79.29166666666667,0.0,91.375,77.125,74.08333333333333,12,3,9,2024,256,93.45833333333331,71.375,61.708333333333336,66.5,14.916666666666686,46.66666666666666,41.875,75.51388888888889,70.21428571428571,26.41388888888889,21.061904761904763,108.18194444444444,73.43630952380953
2024-09-13,91.375,22.804166666666664,83.99583333333334,7.795833333333333,3.7,168.33333333333334,57.083333333333336,27.9875,74.20833333333333,0.0041666666666666,77.125,74.08333333333333,74.20833333333333,13,4,9,2024,257,108.375,93.45833333333331,71.375,66.75,-17.0,20.0,24.625,91.06944444444444,76.19642857142857,32.731944444444444,23.848214285714285,143.53194444444443,92.2452380952381
2024-09-14,77.125,23.266666666666666,74.40416666666667,7.716666666666666,3.6875,169.375,59.25,28.22083333333333,71.625,0.0,74.08333333333333,74.20833333333333,70.375,14,5,9,2024,258,91.375,108.375,93.45833333333331,68.125,-14.25,-16.333333333333314,9.0,97.7361111111111,79.71428571428571,32.101388888888884,24.383333333333333,141.50416666666666,96.97678571428573
2024-09-15,74.08333333333333,21.2875,51.6125,8.366666666666667,4.120833333333334,181.375,57.75,28.05,71.625,0.0,74.20833333333333,70.375,65.08333333333333,15,6,9,2024,259,77.125,91.375,108.375,63.583333333333336,-3.0416666666666714,-34.29166666666667,10.499999999999991,92.29166666666669,81.0,27.46388888888889,25.21011904761905,110.24305555555554,100.47380952380952
2024-09-16,74.20833333333333,21.425,50.7875,9.033333333333331,4.341666666666667,181.375,54.708333333333336,27.8875,75.16666666666667,0.0208333333333333,70.375,65.08333333333333,63.29166666666666,16,0,9,2024,260,74.08333333333333,77.125,91.375,61.708333333333336,0.125,-17.16666666666667,12.499999999999991,80.8611111111111,82.5,22.45277777777777,26.131547619047616,70.00416666666666,100.98392857142858
2024-09-17,70.375,17.895833333333332,51.875,9.620833333333334,4.6875,187.8333333333333,53.583333333333336,28.3125,76.66666666666667,0.0,65.08333333333333,63.29166666666666,64.75,17,1,9,2024,261,74.20833333333333,74.08333333333333,77.125,71.375,-3.8333333333333286,-6.75,-1.0,75.13888888888887,84.28571428571429,21.99305555555556,26.71130952380952,58.93472222222223,98.77083333333334
2024-09-18,65.08333333333333,16.008333333333333,47.61666666666667,11.0875,5.6125,205.7083333333333,59.125,28.375,77.91666666666667,0.0,63.29166666666666,64.75,67.16666666666667,18,2,9,2024,262,70.375,74.20833333333333,74.08333333333333,93.45833333333331,-5.291666666666671,-9.0,-28.374999999999982,72.88888888888889,84.14285714285714,20.20277777777778,25.739880952380958,51.425,93.31309523809524
